id,e,f
664,Direction to BearPaw Processing Company from NEB,Directives à Bear Paw Processing Company
665,Deactivate Compeer Pipeline,Désactivation du pipeline Compeer
666,Construct Gordondale East Meter Station,Construction de la station de comptage Gordondale East
667,Upgrade Southern Lights Flow Optimization,Amélioration liée à l’optimisation du débit Southern Lights
668,Deactivate Section of delivery lines,Désactivation d’une section des conduites de livraison
669,Construct Tank 51 and 52 Connectivity at Kerrobert Terminal,Construction liée au raccordement des réservoirs 51 et 52 au terminal Kerrobert
670,Construct Mica Creek Gathering Pipeline,Construction du pipeline de collecte Mica Creek
671,Construct Bear Creek Meter Station,Construction de la station de comptage Bear Creek
672,Construct Edmonton Terminal (Tank),Construction d’un réservoir au terminal Edmonton
673,Reactivate Sarnia Pipeline,Réactivation du pipeline Windsor-Sarnia
674,Construct Groundbirch Meter Station,Construction de la station de comptage Groundbirch
675,Construct Mainline Komie North Extension,Construction du prolongement Komie North de la canalisation principale
676,Deactivate North Portal Pipeline & Change Name to ONEOK,Désactivation du pipeline North Portal et changement de nom pour ONEOK
677,Construct Waupisoo Meter Station,Construction de la station de comptage Waupisoo
678,Construct Tank 102 Shell Capacity Addition at Cromer Terminal,Construction liée à l’augmentation de la capacité de l’enveloppe du réservoir 102 au terminal Cromer
679,Replace Bluewater River Crossing,Remplacement du franchissement de la rivière Bluewater
680,Deactivate Montney Pipeline,Désactivation du pipeline Montney
681,Construct Genesis Pipeline,Construction du pipeline Genesis
682,Leave to Open - NGTL,Demande d’autorisation de mise en service
683,Construct Gibson West and Pipe Rack,Construction du raccordement et de la rampe de chargement Gibson West
684,Leave to Open - NGTL,Demande d’autorisation de mise en service
685,Leave to Open Gordondale Lateral No.2 Pipeline,Demande autorisation de mise en service de la canalisation latérale de doublement Gordondale no 2
686,Construct Germain Sales Meter Station,Construction de la station comptage au point de vente Germain
687,Variance MO-024-2011 Condition 3,Demande de modification visant la condition 3 de l’ordonnance MO-024-2011
688,Deactivate Redundant Line 13 Facilities,Désactivation des installations redondantes de la canalisation 13
689,Relocate Section of Minell Natural Gas Pipeline,Remplacement d’un tronçon du gazoduc Minell
690,Leave to Open Grande Prairie Mainline Loop,Demande d’autorisation de mise en service du doublement de la canalisation Grande Prairie
692,Leave to Open Cutbank Musreau Area,Demande d’autorisation de mise en service dans la région Cutbank-Musreau
693,Deactivate TransCanada Mainline Compressor Unit,Désactivation d’un motocompresseur du réseau principal
694,Construct Edmonton Terminal Tank,Construction d’un réservoir au terminal Edmonton
695,Leave to Open Cheecham Kettle River,Demande d’autorisation de mise en service de Cheecham-Kettle River
696,Upgrade Lines 2 and 3 Surge Mitigation,Amélioration des limiteurs de suppression sur les canalisations 2 et 3
697,Relocate Highway 43-32 Pipe,Déplacement de la conduite à la jonction des routes 43 et 32
699,Replace Milk River Pipeline,Remplacement du pipeline Milk River
700,Construct Hardisty Tank Terminal Part III,Construction d’un terminal de réservoirs à Hardisty – partie III
701,Construct Dawes Lake South Meter Station,Construction de la station comptage Dawes Lake South
702,Upgrade Transmission,Amélioration d’un pipeline de transport
703,Variance AO-001-MO-024-2011,Demande de modification de l’ordonnance AO-001-MO-024-2011
704,Deactivate AO-002-XO-T097-001-2003,Désactivation du pipeline visé par l’ordonnance AO-002-XO-T097-001-2003
705,Deactivate XO-R042-02-2003,Désactivation du pipeline visé par l’ordonnance AO-003-XO-R042-02-2003
706,Deactivate Tommy Lakes Pipeline,Désactivation du pipeline Tommy Lakes
707,Construct Wapasu Creek Sales Meter Station,Construction de la station comptage au point vente Wapasu Creek
708,Deactivate Pump TB-9-UP-1 at Terrebonne Station,Désactivation de la pompe TB-9-UP-1 à la station Terrebonne
709,Deactivate & Reactivate Pembina Redwater Connection at Edmonton Terminal,Désactivation et réactivation du raccordement Redwater de Pembina au terminal Edmonton
710,Deactivate Coutts Gas Export Pipeline,Désactivation du gazoduc d’exportation Coutts
711,Upgrade EPWI Steelman Terminal,Amélioration du terminal Steelman
712,Deactivate Windsor E-3 Facilities,Désactivation des installations Windsor E-3
713,Deactivate Windsor E-5 Facilities,Désactivation des installations Windsor E-5
714,Deactivate Pipeline - 1057533 Alberta Ltd.,Désactivation du pipeline 1057533 Alberta Ltd.
715,Decommission Alberta System Meter Station,Désaffectation de stations comptage du réseau de l’Alberta
716,Deactivate Kwoen and Goodrich Re-injection Pipelines,Désactivation des pipelines de réinjection Kwoen et Goodrich
717,Request for Relief OPR - TransCanada,Demande d’exemption de certaines dispositions du RPT
718,Upgrade Brazeau East Lateral,Amélioration de la canalisation latérale Brazeau East
719,Upgrade Station 130 Maple Compressor,Amélioration de la capacité du compresseur à la station 130 (Maple)
720,Reversal on Cochin,Inversion du réseau pipelinier Cochin
721,Reactivate EDS-S,Réactivation du réseau de livraison Est – Sud
722,Change Owner from Gas Métro to 9265-0860 Québec,Cession de propriété de Gas Métro à 9265-0860 Québec
723,Construct Hangingstone Meter Station,Construction de la station comptage Hangingstone
724,Leave to Open Nig Creek Pipeline,Demande d’autorisation de mise en service du pipeline Nig Creek
725,Reactivate Windsor E3 Cavern,Réactivation de la caverne E3 à Windsor
726,Reactivate Windsor E5 Cavern,Réactivation de la caverne E5 à Windsor
727,Deactivate Cuthbert 9-36 Pipeline,Désactivation du pipeline Cuthbert 9-36
728,Mitigate Line 4 Surge,Modification en vue de limiter la surpression de la canalisation 4
729,Construct Golden Prairie Meter Station,Construction de la station comptage Golden Prairie
730,Variance SO-T241-002-2012,Demande de modification SO-T241-002-2012
731,Construct Alberta Clipper Expansion,Construction du projet d’agrandissement Alberta Clipper
732,Upgrade Plains Wascana Reversal,Amélioration du raccordement d’inversion de Plains Wascana
733,Construct Line 67 DRA Skid Installation at Hardisty Terminal,Construction d’une plateforme pour additif réducteur de frottement canalisation 67 terminal Hardisty
734,Compliance Verification Meeting - Centra,Réunion de vérification de la conformité
735,Construct Narraway to Ojay Pipeline,Construction du pipeline Narraway-Ojay
736,Construct Kerrobert Stony Beach Connection,Construction des raccordements aux stations Kerrobert et Stony Beach
737,Decommission River Station Facilities & Deactivate Lateral and Upstream Piping,Désaffectation installations station Paddle River et désactivation canalisations latérales et amont
738,Deactivate South Clarke Lake Pipeline,Désactivation du pipeline South Clarke Lake
739,Recommendations from Board Member Report SG-C293-01-11,Recommandations découlant d’un rapport d’un membre de l’Office (SG-C293-01-2011)
740,Construct Line 9B Reversal and Capacity,Construction – inversion de la canalisation 9B et accroissement de la capacité de la canalisation 9
741,Construct BS-3 Upgrade,Construction du projet d’amélioration BS-3
742,Construct Westbrook Meter Stations,Construction des stations comptage Westbrook
743,Construct Line 2 Replacement,Construction liée au remplacement de la canalisation 2
744,Variance MO-19-93,Demande de modification MO-19-93
745,Fitness of service Cochin - Kinder Morgan,Aptitude fonctionnelle du pipeline Cochin
747,Construct SK-AB PW Disposal Pipeline,Construction du pipeline d’élimination des eaux extraites SK-AB PW
748,Construct Enbridge Edmonton to Hardisty Pipeline,Construction du pipeline Edmonton-Hardisty
749,Incident measures for public safety and environment,Mesures à prendre pour protéger la sécurité du public et l’environnement relativement à un incident
750,Construct North Montney,Construction du projet North Montney
751,Deactivate portion of pipe at Montreal-East,Désactivation d’une partie d’oléoduc au terminal Montréal-Est
752,Decommission Bone Creek SK,"Désaffectation d’un tronçon du réseau à Bone Creek, en Saskatchewan"
753,Construct Cromer Tundra Expansion,Construction liée à l’accroissement de la capacité volumétrique de Tundra à Cromer
754,Deactivate two Chinchaga Pipelines,Désactivation de deux pipelines Chinchaga
755,Variance Orders and Certificates,Demande de modification visant des ordonnances et certificats
756,Condition Compliance OC-059,Conformité aux conditions du certificat OC-059
757,Construct Saddle Lake Lateral Loop,Construction du doublement de la canalisation latérale Saddle Lake
758,Construct Nipisi Facility Piping,Construction liée à la tuyauterie d’installations à Nipisi
759,Decommission redundant Sarnia Terminanl Facilities,Désaffectation des installations redondantes au terminal Sarnia
760,Deactivate Chinchaga Pipelines,Désactivation de pipelines Chinchaga
761,Upgrade Steelman Terminal Meter Station,Amélioration de la station de comptage au terminal Steelman
762,Upgrade Hardisty Tank 47 Connectivity,Amélioration du raccordement du réservoir 47 à Hardisty
763,Variance AO-005-XO-T246-04-2008,Demande de modification de l’ordonnance AO-005-XO-T246-04-2008
764,Variance Order XG-R029-81-2,Demande de modification de l’ordonnance XG-029-81-2
765,Decommission Taylor and Goodlow,Désaffectation du tronçon Taylor-Goodlow
766,Construct Enbridge Tank 116 Relief Line,Construction liée à l’installation d’un tuyau de décharge au réservoir 116
767,Construct Edmonton Terminal (South),Construction du terminal Edmonton Sud
768,Construct Eastern Access Edmonton Terminal Connectivity Phase 1,Construction de la phase 1 du raccordement du terminal Edmonton pour l’accès vers l’est
769,Construct Eastern Access Edmonton Satellite Booster Pump and Manifold 203,Construction du relais de surcompression et du collecteur 203 d’Edmonton pour l’accès vers l’est
770,Construct Eastern Access Edmonton Terminal Connectivity Phase 2,Construction de la phase 2 du raccordement du terminal Edmonton pour l’accès vers l’est
771,Construct Enbridge Line 3 Replacement,Construction liée au remplacement de la canalisation 3
772,Variance MO-52-76,Demande de modification de l’ordonnance MO-52-76
773,Request Non-Compliance Time Extension - Enbridge,Demande de prorogation du plan de mesures correctives pour non-conformité
774,Condition Compliance SO-E102-002-2011,Conformité aux conditions de l’ordonnance de sécurité SO-E102-002-2011
775,Construct Norma Transmission Pipeline,Construction du pipeline de transport Norma
776,Abandon XG-F73-4-98,Cessation d’exploitation ordonnance XG-F73-4-98
777,Decommission Facilities at Norman Wells and IJ Crude Oil Injection Facility,Désaffectation installations redondantes Norman Wells et installation d’injection de pétrole brut IJ
778,Construct Sunday Creek South Lateral No. 3,Construction de la canalisation latérale Sunday Creek South no 3
780,Incident Summary information Line 21 incidents,Information sommaire sur des incidents multiples découverts sur la canalisation 21
782,Leave to Open Leismer Kettle River Crossover,Demande d’autorisation de mise en service du pipeline de croisement Leismer-Kettle River
783,Construct Moose River Meter Station,Construction de la station de comptage Moose River
784,Construct Sarnia Terminal Tank 217,Construction du réservoir 217 au terminal Sarnia
785,Construct Line 9 Replacement at Don River,Construction liée au remplacement de la canalisation 9 à la rivière Don
786,Construct Plains Wascana Tank 80 Regina Terminal,Construction du réservoir 80 de Plains Wascana au terminal Regina
787,Construct Leming Lake Sales Lateral Loop,Construction du doublement latéral au point de vente Leming Lake
788,Construct Tank Expansion Cromer Terminal,Construction liée à l’accroissement de la capacité des réservoirs au terminal Cromer
789,Lift pressure restriction SO-E101-04-2010 - Enbridge,Levée de la restriction de pression aux termes de l’ordonnance SO-E101-04-2010
790,Decommission & Deactivate Facilities at Montreal Terminal,Désaffectation et désactivation d’installations au terminal Montréal
791,Control Room report revisions - Enbridge,Révision du rapport de vérification de la conformité de la salle de contrôle
792,Variance AO-002-XO-P115-04-2011 Condition 21,Demande de modification de la condition 21 de l’ordonnance AO-002-XO-P115-04-2011
793,Incidents Response to overpressure,Mesures correctives relatives aux incidents de surpression au terminal Edmonton
794,Variance XG-M234-012-2012 Condition 9 Extend expiry date,Demande de modification de condition 9 de XG-M234-012-2012 pour le report de la date d’expiration
795,Notice of Motion for Land Access - Enbridge,Avis de requête visant l’accès à certains terrains pour le remplacement de la canalisation 3
796,Construct Grey Owl Creek Meter Station,Construction de la station de comptage Grey Owl Creek
797,Decommission Meter Station and Lateral Pipeline,Désaffectation de la station de comptage et de la canalisation latérale
798,Decommission & Deactivate Facilities at Gretna Terminal,Désaffectation et désactivation d’installations au terminal Gretna
799,Leave to Open Keystone XL,Demande d’autorisation de mise en service du pipeline Keystone XL
800,Construct Mitchell Creek Meter Station,Construction de la station de comptage Mitchell Creek
801,Construct Line 7 Capacity Expansion,Construction liée à l’accroissement de la capacité de la canalisation 7
802,Abandon Maple Creek Pipeline,Cessation d’exploitation du pipeline Maple Creek
803,Right of Entry Orders - Westcoast,Ordonnances de droit d’accès
804,Decommission Facilities at Glenboro Station,Désaffectation d’installations à la station Glenboro
805,Incident Advisories For  Several NGTL Batteries,Avis visant plusieurs incidents mettant en cause des batteries dans les installations
806,Construct Denning Lake Compressor Station,Construction de la station de compression Denning Lake
807,Construct Moosa Crossover Pipeline,Construction du pipeline de croisement Moosa
808,Deactivate Line GB-10,Désactivation de la canalisation GB-10
809,Construct South Peace III,Construction dans le cadre du projet South Peace III
810,Abandon Coutts Gas Export Pipeline,Cessation d’exploitation du gazoduc d’exportation Coutts
811,Deactivate Greenstreet Natural Gas Pipeline,Désactivation du gazoduc Greenstreet
812,Incidents Norman Wells production facility,Incidents à l’installation de production Norman Wells
813,Replace IPL and Tower Refurbishment,Remise à neuf et remplacement pylônes sur la ligne internationale de transport d’électricité B3N
814,Incidents Merritt BC,Incidents à Merritt (Colombie-Britannique)
815,Construct Elmsworth Stn U to B Pipeline,Construction du pipeline B à la station U d’Elmworth
816,Construct Hackett Lateral and Meter Station,Construction de la canalisation latérale de doublement et de la station de comptage Hackett
817,Construct Keyera Diluent Connection,Construction de la canalisation de diluant de Keyera
818,Construct Alberta Clipper Expansion Phase II,Construction de la phase II du projet d’accroissement de la capacité d’Alberta Clipper
819,Increase MOP Montreal to Farrand Point,Augmentation de la PME entre Montréal et Farrand Point
820,Construct Edmonton Terminal Tanks 29 & 30,Construction des réservoirs 29 et 30 au terminal Edmonton
821,Construct  Musreau Lake Meter Station,Construction de la station de comptage Musreau Lake
822,Construct  MacKay Sales Meter Station,Construction de la station de comptage au point de vente MacKay
823,Replace Yoyo Pipeline,Remplacement du pipeline Yoyo
824,Upgrade Bonanza Meter Station,Amélioration de la station de comptage Bonanza
825,Abandon North Reagan Pipeline,Cessation d’exploitation du pipeline North Reagan
826,Deactivate sections of Milk River Pipeline,Désactivation de tronçons du réseau pipelinier de Milk River
827,Upgrade Resthaven Meter Station,Amélioration de la station de comptage Resthaven
828,Upgrade Booster Pump at Cromer Terminal,Amélioration liée à l’ajout d’une pompe de surcompression au terminal Cromer
829,Decommission Facilities at Midale Terminal,Désaffectation d’installations au terminal Midale
830,Replace Chilliwack Mainline Pipeline,Remplacement de la canalisation principale Chilliwack
831,Construct Gas Gathering Pipeline,Construction d’un gazoduc de collecte
832,Safety Order Leak North Lateral,Ordonnance de sécurité visant les fuites au latéral nord
833,Safety Order Leak Mitsue/Ukalta Lateral,Ordonnance de sécurité visant les fuites au latéral Mitsue/Ukalta
834,Safety Order Leak Mitsue/Ukalta Lateral,Ordonnance de sécurité visant les fuites au latéral Mitsue/Ukalta
835,Construct Trans Mountain Pipeline Expansion,Construction liée au projet d’agrandissement du réseau de Trans Mountain
836,Construct Gething Source Water Tie-in-1057533,Construction du raccordement du pipeline d’approvisionnement en eau Gething
837,Construct Otter Lake Compressor Station,Construction de la station de compression Otter Lake
838,Transfer of NGTL Integration Asset,Cession d’actifs pour intégration de NGTL
839,Replace Line 11 Westover Segment,Remplacement du tronçon Westover de la canalisation 11
840,Incident Fort Nelson Gas Plant,Incident à l’usine à gaz de Fort Nelson
841,Replace Grizzly Sales Gas Pipeline,Remplacement du pipeline Grizzly destiné à la vente de gaz
842,Variance XO-E101-021-2013,Demande de modification de l’ordonnance XO-E101-021-2013
843,Construct Regina Terminal Tank Relief Line,Construction liée au tuyau de décharge de réservoir au terminal Regina
844,Variance XO-E101-023-2013,Demande de modification de l’ordonnance XO-E101-023-2013
845,Reactivate GreenStreet and Change Owner from Keyera to CNRL,Réactivation de Greenstreet et changement de propriété de Keyera à CNRL
846,Variance XO-E101-002-2014 Condition 5,Demande de modification de la condition 5 de l’ordonnance XO-E101-002-2014
847,Change Owner from Bonavista to Glenogle,Cession de propriété de Bonavista à Glenogle
848,Change Owner from Enbridge to Valero,Cession de propriété d’Enbrige à Valero
849,Change Owner Waasis Transfer Station from Irving to M&NP,Cession de propriété du poste de transfert de propriété d’Irving à M&NP
850,Upgrade Grading Vaughan Ontario,Amélioration liée à des travaux de nivellement à Vaughan (Ontario)
851,Construct Lachenaie Meter Station,Construction de la station de comptage Lachenaie
852,Decommission Facilities Edson Pump Station,Désaffectation d’installations à la station de pompage Edson
853,Decommission & Deactivate Facilities at Edmonton Terminal,Désaffectation et désactivation d’installations au terminal Edmonton
854,Change Owner Hayter-Eyehill from NuVista to Bow River,Cession de propriété du pipeline Hayter-Eyehill à Bow River
855,Construct Line 4 and 67 Transient Mitigation at Kerrobert Terminal,Construction liée à l’atténuation des transitoires des canalisations 4 et 67 à Kerrobert
856,Safety Order Reduce MOP,Ordonnance de sécurité visant la réduction de la pression maximale d’exploitation
857,Extension request - SO-E101-003-2013-Enbridge,Demande de prorogation de l’ordonnance de sécurité SO-E101-003-2013
858,Variance  XO-E103-006-2013 Condition 5,Demande de modification de la condition 5 de l’ordonnance XO-E103-006-2013
859,Construct Husky East Campus Interconnect,Construction du raccordement du campus Est de Husky
860,Increase MOP Wascana Mainline,Augmentation de la PME de la canalisation principale Wascana
861,Construct Medicine Hat Capacity Expansion,Construction liée à l’accroissement des capacités à Medicine Hat
862,Change Owner Pictou Transfer Facilities from Heritage Gas to M&NP,Cession de propriété des installations Pictou de Heritage Gas à M&NP
863,Increase MOP Line 100-4 and MLV 2-9,"Augmentation de la PME à la canalisation 100-4, VCP 2-9"
865,Confidential documents Bedford Station,Documents confidentiels concernant la station Bedford
866,Deactivate Temporary Hayter-Eyehill Pipeline,Désactivation temporaire du pipeline Hayter-Eyehill
867,Change Owner Boundary Lake from Imperial to Whitecap,Cession de propriété du pipeline Boundary Lake de l’Impériale à Whitecap
868,Construct & Abandon Minell Pipeline at Beaver Creek,Construction d’un gazoduc et cessation d’exploitation d’un tronçon du gazoduc Minell à Beaver Creek
869,Deactivate Hossitl and Petitot Pipeline,Désactivation des pipelines Hossitl et Petitot
870,Upgrade Line 67 at Hardisty Terminal,Amélioration de la canalisation 67 au terminal Hardisty
871,Variance MO-015-2013 & Decommission Line 2,Demande de modification de l’ordonnance MO-015-2013 et désaffectation de la canalisation 2
872,Deactivate Main Line Pump Station pumps and station loop,Désactivation du doublement et des pompes de la station pour la canalisation principale
873,Variance XO-E101-007-2013 & Decommission Facilities at Sarnia Terminal,Demande de modification de XO-E101-007-2013 et désaffectation d’installations au terminal Sarnia
874,"Upgrade pumps, piping and facilities at Edmonton Terminal","Amélioration des pompes, tuyaux et installations au terminal Edmonton"
875,Reactivate Flint Hills Pipeline,Réactivation du pipeline Flint Hills
876,Variance SG-T211-002-2014 Condition 2,Demande de modification de la condition 2 de l’ordonnance SG-T211-002-2014
877,Relocate NPS 6 Saint-Jerome Lateral,"Déplacement de la canalisation latérale de 168,28 mm (NPS 6) à Saint-Jérôme"
878,Construct Bilbo Meter Station,Construction de la station de comptage Bilbo
879,Construct Northern Pipeline Diversion,Construction de la déviation du pipeline Nord
880,Construct Musreau Cutbank Expansion,Construction liée au projet d’agrandissement Musreau Cutbank
882,Decommission Facilities at Cromer Terminal,Désaffectation d’installations au terminal Cromer
884,Construct Snip Hill Compressor Station,Construction de la station de compression Snip Hill
885,Replace Elmworth Lateral Pipe,Remplacement de la canalisation latérale Elmworth
886,Upgrade Northern System HVP Spirit River Pump Station,Amélioration de la station de pompage Spirit River à HPV sur le réseau Nord
887,Upgrade Thermo-Electric Generator at West Doe Meter Station,Amélioration de la station de comptage West Doe par l’installation d’un générateur thermoélectrique
888,Decommission Meter Stations and Laterals,Désaffectation de stations de comptage et de canalisations latérales du réseau
889,Deactivate Pesh Creek Pipeline and Loop,Désactivation du pipeline et du doublement de Pesh Creek
890,Deactivate East Ring Border Pipeline,Désactivation du gazoduc East Ring Border
891,Change Owner Boundary Lake from Kaiser to Venturion,Cession de propriété du pipeline Boundary Lake de Kaiser à Venturion
892,Decommission Assets at Regina Terminal,Désaffectation d’actifs au terminal Regina
893,Construct Carmon Creek East Meter Station,Construction de la station de comptage Carmon Creek East
894,Construct Line 4 Relief Tank 40 at Hardisty,Construction liée au tuyau de décharge de la canalisation 4 au réservoir 40 à Hardisty
895,Variance MO-011-2012 Condition 6 Extend deadline,Demande modification de MO-011-2012 visant le report de la date limite pour la condition 6
896,Upgrade Kettle River North #2 Sales Meter Station,Amélioration de la station de comptage au point de vente Kettle River Nord no 2
897,Deactivate Clarke Lake Pipeline,Désactivation du pipeline Clarke Lake
898,Replace McLeod River HDD Pipe,Remplacement de la canalisation FDH à McLeod River
899,Construct East Calgary B Interconnect,Construction de l’interconnexion East Calgary B
900,Construct IPF Cold Lake West Expansion at Edmonton Terminal,Construction liée à l’agrandissement du pipeline Cold Lake West d’IPF au terminal Edmonton
901,Construct Manitoba Interconnect,Construction liée au projet d’interconnexion au Manitoba
902,Increase MOP Chigwell Meter Station-NGTL,Augmentation de la pression maximale d’exploitation à la station de comptage Chigwell
903,Change Owner Compass Pipeline from Talisman to PanTerra,Cession de propriété du pipeline Compass de Talisman à PanTerra
904,Variance XG-C357-009-2010,Demande de modification de l’ordonnance XG-C357-009-2010
906,Deactivate Niton Station Section,Désactivation d’un tronçon de la station Niton
907,Relocate Thorn to Témiscaming Pipeline,Déplacement du pipeline Thorne-Témiscamingue
908,"Variance AO-002-SG-N081-001-2014 Condition 4(a), 4 (b) and 5","Demande de modification visant les conditions 4(a), 4(b) et 5 de AO-002-SG-N081-001-2014"
909,Management System CAP - Plains Midstream,Système de gestion du plan de mesures correctives
910,Construct King's North Connection,Construction du pipeline de raccordement King’s North
912,Deactivate Facilities at Edmonton Terminal,Désactivation d’installations au terminal Edmonton
913,Variance Extend deadline,Demande de modification visant le report d’une échéance
914,Change Owner Hallam Pipeline from NuVista to Bonavista,Cession de propriété du pipeline Hallam de NuVista à Bonavista
915,Amalgamate Vantage with Pembina Prairie as Pembina Prairie,Fusion de Vantage avec Pembina Prairie Facilities
916,Upgrade Husky Connection at Hardisty Terminal,Amélioration du raccordement avec Husky au terminal de Hardisty
917,Condition Compliance XO-E101-003-2014,Conformité à une condition de l’ordonnance XO-E101-003-2014
918,Decommission McLeod River Crossing,Désaffectation du franchissement de la rivière McLeod
