,Event Number,Event Type,Applicable Regulations,Company Name,Damage Prevention Program Changed,Further Action Required,Equipment Type,Was Pipe Contacted,Was Pipe Damaged,Was There Damage To Pipe Coating,Was There Damage To Pipe Body,Will An Engineering Assessment Be Required,Was The Determination Whether There Was Damage To Pipe Made By Competent Person,Date Event Occurred,Who Discovered The Event,Method Of Discovery,Warning Signs Visible,Distance From Activity To The Nearest Pipe Signage,Final Submission Date,Is There Immediate Concern For Safety Of Pipeline Employee Or General Public,Pipeline Name,Pipeline Outside Diameter (mm),Length Of Pipeline (km),Commodity Carried,Province/ Territory Where Event Occurred,Latitude,Longitude,Did Person Obtain Company Written Consent To Operate Across Pipeline,Crossing Agreement,Other Agreement,Was The Vehicle Or Mobile Equipment Used To Perform An Agricultural Activity,Was The Point Of Crossing Subject To A Notification Under Section 7 Of The Damage Prevention Regulations,Type Of Vehicle Or Mobile Equipment,Did The Pipeline Company Complete Surface Load Analysis,Ground Disturbance Type,Type Of Equipment That Caused The Ground Disturbance,Distance From Centreline Of Pipeline To Ground Disturbance,Distance From Centreline Of Pipeline To Ground Disturbance Unit of Measure,Depth Of Activity,Depth Of Activity Unit of Measure,Depth Of Cover Prior To Activity,Depth Of Cover Prior To Activity Unit of Measure,Did The Activity Result In Removal Of Earth Cover Over The Pipeline Right Of Way,Reduction Of Depth Of Cover After Activity,Reduction Of Depth Of Cover After Activity Unit of Measure,Did A Person Obtain Company Written Consent For The Ground Disturbance,Did A Person Make A Locate Request In Accordance With Section 3 Of The DPR,Written Consent Issued,Start Without Inspector,Pipeline Marked,Locate Request Made,Was The Pipe Located Prior To The Ground Disturbance,Did A Person Obtain Information That Is Referred To Paragraph 6(1)(A) And (C) Or Of DPR For Construction Of Facility,"Was The Construction Of A Facility Across,On,Along,Or Under The Pipeline Right Of Way",Type Of Facility,Distance From Centreline Of Pipeline To Construction Of Facility,Distance From Centreline Of Pipeline To Construction Of Facility Unit of Measure,Did A Person Obtain Company Written Consent For The Construction Of The Facility,Did Person Make Request In Accordance With Section 3 Of DPR Authorizations,Was The Pipe Located Prior To The Construction Of Facility,Did A Person Obtain Information That Is Referred To Paragraph 6(1)(a) and (c) or Of DPR For Ground Disturbance,Has Gouge On Physical Pipe,Gouge Width,Gouge Length,Gouge Depth,Gouge Depth Unit Of Measurement,Gouge Location (Clock Location),Has Dent On Physical Pipe,Dent Width,Dent Length,Dent Depth,Dent Depth Unit Of Measurement,Dent Location (Clock Location),Dent Has Interactions With Mill Or Field Weld,Dent Has Presence Of Corrosion,Dent Has Presence Of Stress Concentrators,Dent Strain (Percentage),Has Other Damage On Physical Pipe,Has The Damage Been Mitigated,Have The Interim Measured Been Taken,How Damage Was Caused,List Of Ground Disturbance Measures,List Of Construction of Facility Measures,Basic Causes,Immediate Causes,Preventive Corrective Actions
10,UX2010-092,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Enbridge Pipelines Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,11/02/2010,,,Not Specified,,11/16/2010,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.42,-79.76,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,UX2010-093,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Québec and Maritimes Pipeline Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,10/18/2010,,,Not Specified,,11/16/2010,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.71,-73.82,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UX2010-094,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans-Northern Pipelines Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,11/22/2010,,,Not Specified,,11/22/2010,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.47,-79.67,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UX2010-095,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",TransCanada PipeLines Limited,Not Specified,Not Specified,,No,,,,Not Specified,,09/21/2010,,,Not Specified,,09/22/2010,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.15,-79.7,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,UX2010-096,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans-Northern Pipelines Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,12/07/2010,,,Not Specified,,12/09/2010,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.65,-79.38,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,UX2010-097,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Enbridge Pipelines Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,12/02/2010,,,Not Specified,,12/06/2010,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.78,-79.42,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,UX2010-098,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans-Northern Pipelines Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,12/15/2010,,,Not Specified,,12/17/2010,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.62,-79.51,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,UX2011-001,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Enbridge Pipelines Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,01/13/2011,,,Not Specified,,01/13/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.42,-79.76,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UX2010-099,Construction of a Facility,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,11/04/2010,,,Not Specified,,01/27/2011,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.2,-122.79,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,UX2010-100,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,11/09/2010,,,Not Specified,,01/27/2011,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.28,-122.95,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,UX2010-101,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,12/08/2010,,,Not Specified,,01/27/2011,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.23,-122.84,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,UX2010-102,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,10/19/2010,,,Not Specified,,01/27/2011,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.18,-122.69,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,UX2011-002,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",BP Canada Energy Enterprises,Not Specified,Not Specified,,No,,,,Not Specified,,03/03/2011,,,Not Specified,,03/04/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,42.23,-83.02,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,UX2010-103,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",TransCanada PipeLines Limited,Not Specified,Not Specified,,No,,,,Not Specified,,11/17/2010,,,Not Specified,,11/18/2010,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,48.36,-80.25,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,UX2011-003,Construction of a Facility,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipe Line Company Limited,Not Specified,Not Specified,,No,,,,Not Specified,,01/02/2011,,,Not Specified,,01/20/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,53.54,-113.49,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,UX2011-004,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Kinder Morgan Cochin ULC,Not Specified,Not Specified,,No,,,,Not Specified,,01/25/2011,,,Not Specified,,02/02/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Saskatchewan,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,UX2011-005,Construction of a Facility,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",TransCanada PipeLines Limited,Not Specified,Not Specified,,No,,,,Not Specified,,02/09/2011,,,Not Specified,,02/14/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,54.34,-112.91,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,UX2011-006,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,02/14/2011,,,Not Specified,,03/21/2011,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.25,-122.85,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,UX2011-007,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans-Northern Pipelines Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,03/22/2011,,,Not Specified,,03/23/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.38,-79.75,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,UX2011-008,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Québec and Maritimes Pipeline Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,03/23/2011,,,Not Specified,,03/29/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,UX2011-009,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,04/07/2011,,,Not Specified,,04/19/2011,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.08,-122.25,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,UX2011-010,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,04/05/2011,,,Not Specified,,04/19/2011,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,50.69,-120.43,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,UX2011-011,Vehicle Crossing,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Specified,Not Specified,,No,,,,Not Specified,,03/15/2011,,,Not Specified,,04/20/2011,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,55.12,-122.94,,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,UX2011-012,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Mountain Pipeline ULC,Not Specified,Not Specified,,No,,,,Not Specified,,04/13/2011,,,Not Specified,,05/09/2011,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.14,-122.52,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,UX2011-013,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",BP Canada Energy Enterprises,Not Specified,Not Specified,,No,,,,Not Specified,,04/21/2011,,,Not Specified,,05/04/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,42.27,-83.08,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,UX2011-014,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",TransCanada PipeLines Limited,Not Specified,Not Specified,,No,,,,Not Specified,,04/26/2011,,,Not Specified,,05/02/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,48.95,-90.21,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,UX2011-015,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Petroleum Transmission Company,Not Specified,Not Specified,,No,,,,Not Specified,,04/27/2011,,,Not Specified,,04/29/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,UX2011-016,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans-Northern Pipelines Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,05/27/2011,,,Not Specified,,05/27/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.51,-73.99,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,UX2011-017,Vehicle Crossing,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Trans Québec and Maritimes Pipeline Inc.,Not Specified,Not Specified,,No,,,,Not Specified,,05/26/2011,,,Not Specified,,05/26/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.38,-73.55,,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,UX2011-018,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Montreal Pipe Line Limited,Not Specified,Not Specified,,No,,,,Not Specified,,04/05/2011,,,Not Specified,,04/20/2011,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,43.51,-73.55,,,,,,,,,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,DPR2023-054,Construction of a Facility; Vehicle Crossing,Canadian Energy Regulator Pipeline Damage Prevention Regulations  Authorizations ; Canadian Energy Regulator Pipeline Damage Prevention Regulations  Obligations of Pipeline Companies,Westcoast Energy Inc.,,,Not Specified,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2nd party (contractor working for the regulated company),Aerial patrol,,Greater than 30 metr,03/15/2023,No,MML1,762.000,122.7000,Natural Gas,British Columbia,55.74,-121.51,No,,,No,Not Specified,Not Specified,No,,,,,,,,,,,,,,,,,,,Not Specified,Yes,Not Specified,1.000,metres,No,No,Not Specified,No,,,,,,,,,,,,,,,,,,,,,,Not Specified,Personal Factors - Improper motivation - Improper attempt to save time or effort,Written Consent Issue - Failure to obtain written consent,"Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Event notification letter from pipeline company to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Provide CER damage prevention materials to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Provide pipeline company damage prevention materials to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review conditions of written consent with all parties; Tier 1 Preventive Actions - actions taken to address causes at additional locations where similar/identical situations exist in order to proactively eliminate the identified risk - No tier 1 preventive actions taken; Tier 2 Preventive Actions - actions taken to address systemic causes; typically associated with changes that impact the entire company or pipeline. - No tier 2 preventive actions taken"
41,DPR2023-055,Construction of a Facility; Vehicle Crossing,Canadian Energy Regulator Pipeline Damage Prevention Regulations  Authorizations ; Canadian Energy Regulator Pipeline Damage Prevention Regulations  Obligations of Pipeline Companies,Westcoast Energy Inc.,,,Not Specified,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2nd party (contractor working for the regulated company),Aerial patrol,,Greater than 30 metr,03/15/2023,No,MML1,762.000,122.7000,Natural Gas,British Columbia,55.73,-121.56,Yes,,,No,Not Specified,Not Specified,No,,,,,,,,,,,,,,,,,,,Not Specified,Yes,Not Specified,5.000,metres,No,No,Not Specified,No,,,,,,,,,,,,,,,,,,,,,,Not Specified,Personal Factors - Lack of knowledge - Lack of situational awareness; Personal Factors - Lack of knowledge - Misunderstood directions,Written Consent Issue - Failure to obtain written consent,"Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Event notification letter from pipeline company to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Provide CER damage prevention materials to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Provide pipeline company damage prevention materials to all parties; Corrective Actions - actions taken at the event site to remove or control the cause(s) in order to eliminate the hazard, or minimize the associated risk. - Review conditions of written consent with all parties; Tier 1 Preventive Actions - actions taken to address causes at additional locations where similar/identical situations exist in order to proactively eliminate the identified risk - No tier 1 preventive actions taken; Tier 2 Preventive Actions - actions taken to address systemic causes; typically associated with changes that impact the entire company or pipeline. - No tier 2 preventive actions taken"
42,UX2016-054,Ground Disturbance,"National Energy Board Pipeline Crossing Regulations (PCR2), Part II",Plains Midstream Canada ULC,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,05/13/2016,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,42.24,-82.84,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
