EnglishProjectName,ProjectShortName,CS10FolderName,CS10FolderId
2004 Application for Deactivation,2004 Application for Deactivation,2004-06-07 - Application for the Deactivation of Crowsnest Compressor Station Unit 1A-E,327913.0
2004 Application No. 1,2004 Application No. 1,2004-09-09 - 2004 Application No. 1 - 2004 Cathotic Protection Program,335395.0
2004 Application No. 14,2004 Application No. 14,2004-07-23 - 2004 Application No. 14 - Project U0651 - Groundbed Replacement - Fort Nelson Mainline - km 57.3,332342.0
2004 Application No. 15,2004 Application No. 15,"2004-09-16 - 2004 Application No. 15 - Project 12093995-0010 - Revetment Juliet Creek, 8AL1 & L2, km 27.0",336483.0
2004 Application No. 16,2004 Application No. 16,2004-09-17 - 2004 Application No. 16 - La Biche River Crossing Replacement - Pointed Mountain Pipeline,336379.0
2004 Application No. 18 - Blueberry River Revetmen,2004 Application No. 18 - Blueberry River Revetmen,"2004-11-03 - 2004 Application No. 18 - Project 10051368 - 406.4mm Silver-Dahl Pipeline, km 60.7, Blueberry River Revetment",339335.0
2004 Application No. 2,2004 Application No. 2,2004-01-28 - 2004 Application No. 2 - Project U0655 - Upgrade Pipe Casings - Fort Nelson Mainline,309937.0
2004 Application No. 3,2004 Application No. 3,2004-01-30 - 2004 Application No. 3 - Decommissioning Booster Station 12 - Fort Nelson Gas Plant,309534.0
2004 Application No. 4,2004 Application No. 4,2004-03-09 - 2004 Application #4 - Project 10050725 - Grewatsch Creek Revetment - 323.9 Laprise Pipeline - km 15.7,314504.0
2004 Application No. 5,2004 Application No. 5,2004-03-11 - 2004 Application #5 - Project Q0391 - Upgrade Pipe Casings - Sahtaneh and Yoho Pipelines and Project Q0392 - Yoho Corrosion Inhibitor Storage Tank Replacement,314271.0
2004 Application No. 7,2004 Application No. 7,2004-03-29 - 2004 Application No. 7 - Project T0424 - Sulphur Pipeline Preventative Maintenance Projects - Pine River Gas Plant,315590.0
2004 Application No. 8,2004 Application No. 8,2004-04-01 - 2004 Application No. 8 - Project T0424B - Upgrade Sulphur Pipeline Access Road - Pine River Gas Plant and Project U0612 - Ground Bed Installation - 5L1/L2 Km 6,316495.0
2004 Application No. 8,2004 Application No. 8,2004-04-01 - 2004 Application No. 8 - Project T0424B - Upgrade Sulphur Pipeline Access Road - Pine River Gas Plant and Project U0612 - Ground Bed Installation - 5L1/L2 Km 6,316495.0
2004 Application No. 9,2004 Application No. 9,"2004-04-22 - 2004 Application No. 9 - Project 12070653 - Gully Erosion Revetment - 406.4mm Wolf Pipeline, Km 26.2",324331.0
2004 Construction,2004 Construction,2004-04-02 - Application for Year 2004 Construction,319429.0
2004 Construction #2 Cathodic Program #1 Ontario,2004 Construction #2 Cathodic Program #1 Ontario,2003-12-22 - 2004 Construction No. 2 - 2004 Cathodic Protection Program No. 1 - Ontario,306953.0
2004 Construction No. 1,2004 Construction No. 1,2004-05-20 - Application for 2004 Construction No. 1 - 2004 Containment Sampling and Remediation Program - Sampling Phase,326169.0
2004 Construction No. 2,2004 Construction No. 2,2004-05-20 - Application for 2004 Construction No. 2 - Piping Modifications at Sparwood Meter Station,326170.0
2004 Construction No. 5,2004 Construction No. 5,2004-04-28 - Application for 2004 Construction No. 5 - 2004 Contaminant Sampling and Remediation Program - Sampling Phase,324332.0
2004 S.58 Application No. 11,2004 S.58 Application No. 11,"2004-06-18 - 2004 Application No. 11 - Install Crossover - 8"" Northwest Helmet Extension / 16"" North Helmet Loop",329629.0
2004 S.58 Application No. 13,2004 S.58 Application No. 13,2004-07-14 - 2004 Application No. 13 - Project U0687B - Groundbed Installation - 83 Mile Creek and Zopkios,332194.0
2004 Tolls,2004 Tolls,"2004-03-19 -Application for Approval of Tolls Effective April 1, 2004",314993.0
2009-2010 OPR Audit,2009-2010 OPR Audit,ESIM Migration 1000054277,4020.0
2017 NGTL System Expansion Project,2017 NGTL System Expansion Project,2014-12-15 - Project Description for the 2017 NGTL System Expansion,2583630.0
6720471 Canada s. 58 Application for Pierson Pipeline,6720471 Canada s. 58 Application for Pierson Pipel,ESIM Migration 1000044097,3377.0
806026 Alberta Ltd. s. 21 application to revoke condition 5 of Order XG-Z007-3-2005 - Pesh Creek Pipeline Loop,806026 Alberta Ltd. s. 21 application to revoke co,ESIM Migration 1300009575,9575.0
"806026 Alberta Ltd., s. 21 application to revoke and replace conditions 4 and 6, Order XG-Z007-3-2005 - Pesh Creek Pipeline Loop","806026 Alberta Ltd., s. 21 application to revoke a",ESIM Migration 1300009573,9573.0
806026 Alberta s. 58 application to construct Pesh Creek Pipeline Loop,806026 Alberta s. 58 application to construct Pesh,2004-12-15 - Application for the Pesh Creek Pipeline Loop,343008.0
8th Supplementary Application for 2002 - Line 1,8th Supplementary Application for 2002 - Line 1,2002-05-17 First Supplementary Application for 2002 - Line 1 Pump Vent Flush Piping Installation and Orifice Place Replacement,206271.0
Abandonment of 10 IPLs,Hydro-Quebec - Abandonment of 10 IPLs,2013-05-29 - Application to Abandon Ten Electricity Lines,958827.0
Abandonment of 10 IPLs,Hydro Quebec - Abandonment of 10 IPLs,2013-05-29 - Application to Abandon Ten Electricity Lines,958827.0
Abandonment of Empire Odourant Station,Abandonment of Empire Odourant Station,ESIM Migration 1300005340,5340.0
Additional Compression at AB47 and AB48,Additional Compression at AB47 and AB48,2002-08-29 Application for Additional Compression at AB47 and AB48 Receipt Points,234566.0
Advisory to TransCanada PipeLines with regards to Several Battery Incidents on facilities,Advisory to TransCanada PipeLines with regards to ,,7577.0
Alberta Clipper Expansion Project,Alberta Clipper Expansion Project,A - National Energy Board,465117.0
Algonquin Tinker Gen Co. s. 21 application to amend EC-III-2 and EC-III-3,Algonquin Tinker Gen Co. s. 21 application to amen,2016-05-10 - Application to Alter International Power Lines,2956008.0
Alida to Cromer Capacity Expansion Program,Alida to Cromer Capacity Expansion Program,2007-01-17 - Application for the Alida to Cromer Capacity Expansion (ACCE) Project (OH-2-2007),450715.0
Alliance - British Columbia Expansion,Alliance - British Columbia Expansion,ESIM Migration 1000043829,3360.0
ALLIANCE CONNECTION FACILITIES,ALLIANCE CONNECTION FACILITIES,ESIM Migration 1000005293,1546.0
Alliance Pipeline Limited Partnership - Application to Deactivate Kaybob South Lateral Pipeline (Lat-27B),Alliance Kaybob South Lateral Deactivation,2023-07-07 - Application for the Kaybob South Lateral Deactivation Project,4388954.0
Alliance Pipeline Ltd - Bigstone HDD Pipe Replacement Project,Bigstone HDD Pipe Replacement,,4033081.0
Alliance Pipeline Ltd. - application for the AB10 Meter Station Deactivation Project,AB10 MS Deactivation,2022-06-07 - Application for the AB10 Meter Station Deactivation Project,4236457.0
Alliance Pipeline Ltd. - Application for the SK56 Meter Station Deactivation Project,Alliance SK56 MS Deactivation,2022-06-20 - Application for the SK56 Meter Station Deactivation Project,4236562.0
Alliance Pipeline Ltd. - Application for Transfer of Ownership of the AB10 Meter Station.,Transfer AB10 Meter Station,,4295403.0
Alliance Pipeline Ltd. application for the AB47 CAT G3412 Compressor Reactivation Project.,Alliance AB47 CAT G3412 React.,,4236588.0
Alliance Pipeline Ltd. application for the Bigstone Reactivation Project.,Bigstone Reactivation,2021-09-28 - Application for the Bigstone Reactivation Project,4152040.0
Alliance Pipeline Ltd. application to Deactivate the Carson Creek Facilities,Carson Creek Deactivation,,3890496.0
Alliance Pipeline Ltd. s. 44 Application for Continued Deactivation of Bigstone Lateral and Bigstone West Meter Station.,Deactivate Bigstone Lateral and Bigstone West MS,,3338863.0
Alliance Pipeline Ltd. s. 58 Big Mountain Creek Receipt Point Facilities (AB68),Alliance Pipeline Ltd. s. 58 Big Mountain Creek Re,2015-08-25 Application for Construction of Big Mountain Creek Receipt Point - AB68,2813215.0
Alliance Pipeline Ltd. s. 58 Regina South Bypass Mainline Upgrade Project,Alliance Pipeline Ltd. s. 58 Regina South Bypass M,,2902311.0
Alliance s. 58 application -  Moose River Meter Station Expansion Project,Alliance s. 58 application -  Moose River Meter St,2013-04-22 - Application for the Moose River Meter Station Expansion Project,947077.0
Alliance s. 58 application - Elmworth Lateral Pipe Replacement Project,Alliance s. 58 application - Elmworth Lateral Pipe,,2481401.0
Alliance s. 58 application - Thermo-Electric Generator Installation at West Doe Meter Station,Alliance s. 58 application - Thermo-Electric Gener,2014-06-05 - Application for the Thermo-Electric Generator Installation at West Doe Meter Station,2482150.0
Alliance s. 58 application for Installation of  Second Meter Run at Younger  BC04,Alliance s. 58 application for Installation of  Se,2009-02-17 –  Application for Installation of a Second Meter Run at Younger Meter Station - BC04,548160.0
Alliance s. 58 application to construct Alameda Compressor Station- additional aerial cooler facilities,Alliance s. 58 application to construct Alameda Co,2007-04-13 - Application for the Alameda Compressor Station - Additional Aerial Cooler Facilities,460009.0
Alliance s. 58 application to construct West Doe Meter Station and interconnecting piping.,Alliance s. 58 application to construct West Doe M,2007-06-07 - Application for West Doe Meter Station and Interconnecting Piping (BC 12),466740.0
Alliance s. 58 application to construct Windfall Compressor Station,Alliance s. 58 application to construct Windfall C,2004-11-24 - Application for Windfall Compressor Station - Additional Aeiral Cooler Facilities,341250.0
Allicance s. 58 application to construct Moose River Meter Station,Allicance s. 58 application to construct Moose Riv,2006-12-15 - Application for the Moose River Meter Station and Interconnecting Piping,446504.0
AltaGas - Abandonment of John Lake Pipelines Application - MHW-003-2016,AltaGas - Abandonment of John Lake Pipelines Appli,,2936705.0
AltaGas Holdings Inc. application to abandon the Pouce Coupe A Pipeline.,AltaGas Holdings Inc. application to abandon the P,,2586204.0
AltaGas Holdings Inc. on behalf of AltaGas Pipeline Partnership application to abandon Kahntah Pipeline and Kahntah Meter Station,AltaGas Kahntah Pipeline Abandonment,,3964905.0
AltaGas Holdings Inc. s. 44 OPR application to deactivate the Mica Pipeline.,Mica Pipeline Deactivation,2018-12-21 Application for Mica Pipeline Deactivation,3742853.0
AltaGas Holdings Inc. s. 74(1)(d)  abandonment application - Pouce Coupe B pipeline.,Pouce Coupe B Abandonment,2018-10-31 Application for leave to Abandon the Pouce Coupe Pipeline (MHW-005-2019),3690030.0
AltaGas Pipeline Partnership Kahntah Pipeline Deactivation,AltaGas Pipeline Partnership Kahntah Pipeline Deac,ESIM Migration 2000004366,4366.0
AltaGas Pipeline s. 74 application to abandon the Coutts Gas Export Pipeline(the Project),AltaGas Pipeline s. 74 application to abandon the ,2013-05-07 - Application to Abandon the Coutts Gas Export Pipeline (MHW-002-2013),949305.0
"AltaGas s. 74 application to sell and transfer to Suffield Processing Limited Partnership, seven pipelines.",AltaGas to Suffield Sale of Assets,,3742666.0
AltaGas s. 74(1)(d) Abandonment Application - Acadia Valley Pipeline and Acadia Valley Tie-ins,Acadia Valley Abandonment,2018-11-30 Application for Acadia Valley Pipeline and Acadia Valley tie-ins Abandonment - MHW-007-2019,3715743.0
AltaGas s. 74(1)(d) Abandonment Application - Acadia Valley Pipeline and Acadia Valley Tie-ins,Acadia Valley Abandonment,2018-11-30 Application for Acadia Valley Pipeline and Acadia Valley tie-ins Abandonment - MHW-007-2019,3715743.0
Alteration of PTC Cochin Spur Pipeline,Alteration of PTC Cochin Spur Pipeline,2003-02-26 Application to Alter PTC Cochin Spur Pipeline,267218.0
Amend Scope of Project 0241069A01,Amend Scope of Project 0241069A01,2003-03-11 Application to Vary Order XO-E101-05-2002 - Amend Scope of Project 0241069A01,268315.0
"Amend Tank 46 Order, Hardisty","Amend Tank 46 Order, Hardisty","2003-03-18 Application to Amend Tank 46 Order at Hardisty, Alberta",270815.0
Amendment of Board Order XG-T001-27-2004,Amendment of Board Order XG-T001-27-2004,2004-11-04 - Application to Amend Board Order XG-T001-27-2004 to Include the Replacement of Two Rectifiers,340497.0
Amendment to Board Order,Amendment to Board Order,ESIM Migration 1000038872,3146.0
Amendment to Board Order,Amendment to Board Order,ESIM Migration 1000043047,3329.0
"An application made by Westcoast Energy Inc., carrying on business as Spectra Energy Transmission (Westcoast), pursuant to section 45 of the Onshore Pipeline Regulations, I999 (OPR-99) to reactivate the 323.9 mm OD Sierra Pipeline the project.","An application made by Westcoast Energy Inc., carr",ESIM Migration 1300009440,9440.0
APP DATED 00-09-18 2000 SUPPLEMENTARY CAPITAL,APP DATED 00-09-18 2000 SUPPLEMENTARY CAPITAL,ESIM Migration 1000006092,1732.0
APP DATED 00-09-21 # 22 PROJECT U0236,APP DATED 00-09-21 # 22 PROJECT U0236,ESIM Migration 1000006091,1731.0
APP FOR 2001 NO. 1 FORT NELSON FIELD SERVICES,APP FOR 2001 NO. 1 FORT NELSON FIELD SERVICES,ESIM Migration 1000006341,1804.0
APPL DATED 00-02-03 - MODIFICATIONS TO TRAP,APPL DATED 00-02-03 - MODIFICATIONS TO TRAP,ESIM Migration 1000005303,1553.0
Application by Enbridge - to construct and operate Line 2 Replacement (Project),Application by Enbridge - to construct and operate,,893373.0
Application by Imperial Oil Resources Ventures Limited for an authorization for the Mackenzie Gathering System.,Application by Imperial Oil Resources Ventures Lim,,659319.0
Application by Ruger Energy to Abandon Alsask A317Z9,Application by Ruger Energy to Abandon Alsask A317,,2525949.0
Application by TransCanada to Construct and Operate Westbrook Sales Meter Stations (Project) replacement,Application by TransCanada to Construct and Operat,2012-12-06 - Application for the Westbrook Meter Station,894297.0
Application by Westcoast to construct and operate the BS-3 Upgrade Project (the “Project”).,Application by Westcoast to construct and operate ,2012-11-30 - Application for the BS-3 Upgrade Project,892104.0
Application dated 08-07-17,Application dated 08-07-17,2008-07-17 - Application for the Deactivation of the Clark and Nordberg Compressor Units at Compressor Station 5,523298.0
Application for 2002 Construction #7,Application for 2002 Construction #7,"2002-06-17 Application for 2002 Construction - No.7 - Decommissioning of Station 17B, 105B and 105C",209963.0
Application for 2002 Construction No. 4 Environmen,Application for 2002 Construction No. 4 Environmen,2002-05-24 Application for 2002 Construction - No. 4 - Environmental Sampling,205409.0
Application for Amendment,Application for Amendment,2004-09-05 - Application for Amendment to Order XG-W005-24-2004 - Goodrich Re-injection Pipeline Additions,336377.0
Application for Amendment to Board Order,Application for Amendment to Board Order,ESIM Migration 1000022836,2107.0
Application for an order for exempting,Application for an order for exempting,"2003-04-08 Application for an Order to Move Gas from Lone Rock Area, SK to Facilities near Blackfoot, AB.",273054.0
Application for Authorization to Complete Transmission Upgrade Work,Application for Authorization to Complete Transmis,ESIM Migration 1300006274,6274.0
Application for Deactivation,Application for Deactivation,2004-07-30 - Application to Deactivate NPS4 High Pressure Sweet Natural Gas Pipeline Located at 09-30-080-13-W6M to 12-28-080-13-W6M,332848.0
Application for Deactivation,Application for Deactivation,2004-07-30 - Application to Deactivate NPS4 High Pressure Sweet Natural Gas Pipeline Located at 09-30-080-13-W6M to 12-28-080-13-W6M,332848.0
Application for exemption from s.17 of OPR 99,Application for exemption from s.17 of OPR 99,2011-02-17 - Application for the Hidden Lake North and Moody Creek Compressor Stations,672909.0
Application for interim relief of regulatory requirement under the OPR,Application for interim relief of regulatory requi,,26181.0
Application for Keystone Pipeline,Application for Keystone Pipeline,ESIM Migration 1000043003,3325.0
Application for Pipeline Replacements,Application for Pipeline Replacements,"2002-07-15 Application for Pipeline Replacements - Township of Augusta, ON",214121.0
Application for Replacement of NPS 30 Segments,Application for Replacement of NPS 30 Segments,"2004-07-29 - Application for Excavation, Cut out and Replacement of Segements of the Existing NPS 30 Pipeline at Various Sites",332844.0
Application for Return to Service (Leave to Open) - Nig Creek Pipeline Rupture,Application for Return to Service (Leave to Open) ,ESIM Migration 1300006700,6700.0
Application for Review and Variance and Stay to AO-002-SO-T217-03-2010,Application for Review and Variance and Stay to AO,,
"Application for the Deactivation of the Kwoen Re-injection, Goodrich Re-injection and Goodrich Extension Re-injection Pipelines",Application for the Deactivation of the Kwoen Re-i,"2012-07-31 - Application for Deactivation of Kwoen Re-injection, Goodrich Re-injection and Goodrich Extension Re-injection Pipelines",835510.0
Application for the TQM Reinforcement and Asset Purchase,TQM Reinforcement and Asset Purchase,"Certificate, Order and Compliance",4038460.0
Application for Variance to Board Order,Application for Variance to Board Order,2004-04-16 - Application for Variance to Board Order XO-E101-3-2004 - Gananoque River Sectionalizing Valve Scope Change,321788.0
APPLICATION NO 23 EXPAND COLD STORAGE BLDG CS 8B,APPLICATION NO 23 EXPAND COLD STORAGE BLDG CS 8B,ESIM Migration 1000006340,1803.0
Application of Plains Midstream Canada ULC for Leave to Deactivate Windsor E-3 Facilities,Application of Plains Midstream Canada ULC for Lea,2012-07-03 - Application for Deactivation of the Windsor E-3 Facilities,828761.0
Application of Plains Midstream Canada ULC for Leave to Deactivate Windsor E-5 Facilities,Application of Plains Midstream Canada ULC for Lea,2012-07-03 - Application for Deactivation of the Windsor E-5 Facilities,828762.0
Application of TransCanada and NGTL Pursuant to subsections 74(1)(a) and (b) of the NEB Act,Application of TransCanada and NGTL Pursuant to su,2011-07-11 - Application for the Sale and Purchase of TransCanada Mainline Station 43 - Unit C Compressor Facilities and Station 49 - Unit C Aerial Coolers,703563.0
Application pursuant to s.58 to construct and operate the North Montney Project,Application pursuant to s.58 to construct and oper,2012-12-21 - Application for the North Montney Project,896844.0
Application pursuant to S58 for construction for Y,Application pursuant to S58 for construction for Y,ESIM Migration 1000006344,1807.0
Application pursuant to Section 21(1) of the Act,Application pursuant to Section 21(1) of the Act,ESIM Migration 1300005501,5501.0
Application pursuant to Section 44 of the Onshore Pipeline Regulations (OPR) to deactivate a portion of the 18-inch diameter crude oil pipe located at the Montreal-East Terminal,Application pursuant to Section 44 of the Onshore ,2013-01-11 - Application for 18-inch Pipeline Deactivation at the Montreal Terminal,904271.0
"Application Pursuant to Section 44, OPR 99, Deactivation of Chinchaga Pipelines (Order XG-V037-17-2006)","Application Pursuant to Section 44, OPR 99, Deacti",2013-02-05 - Application for Deactivation of Chinchaga Pipeline,915834.0
"Application pursuant to Section 58, Enbridge Pipelines Inc. - Cromer Tundra Volume Capacity Expansion","Application pursuant to Section 58, Enbridge Pipel",2013-01-15 - Application for the Cromer Tundra Volume Capacity Expansion,906037.0
APPLICATION TO AMEND BOARD ORDER,APPLICATION TO AMEND BOARD ORDER,ESIM Migration 1000006216,1769.0
Application to Amend Board Order XG-P177-01-2003,Application to Amend Board Order XG-P177-01-2003,ESIM Migration 1000033683,2749.0
Application to Amend Exemption Order,Alter the Moose Lake IPL,,711270.0
APPLICATION TO CHANGE CONDITIONS IN ORIGINAL ORDER,APPLICATION TO CHANGE CONDITIONS IN ORIGINAL ORDER,ESIM Migration 1000004486,1332.0
Application to Complete Transmission Tower Refurbishment and Replacement Work on IPL B3N,Application to Complete Transmission Tower Refurbi,2013-07-02 - Application to Complete Transmission Tower Refurbishment and Replacement Work on International Power Line B3N,970559.0
Application to Deactivate Pump TB-9-UP-1 at Terrebonne Station,Application to Deactivate Pump TB-9-UP-1 at Terreb,2012-06-07 - Application to Deactivate Pump TB-9-UP-1 at Terrebonne Station,823222.0
Application to Deactivate the AltaGas Holdings Inc. Coutts Gas Export Pipeline,Application to Deactivate the AltaGas Holdings Inc,2012-06-25 - Application for the Deactivation of the Coutts Gas Export Pipeline,827177.0
Application to Deactivate The Windsor-Dow Pipeline,Application to Deactivate The Windsor-Dow Pipeline,,543898.0
Application to issue a Board Order to cease operation of vehicles and remove stored items from right-of-way,Board Order to remove items from RoW,,
Application to Lower two Section of P/L,Application to Lower two Section of P/L,"2002-06-18 Application to Lower Two Sections for Pipeline at Morningside and Neilson Tributary Crossing, Scarborough ON",209820.0
APPLICATION TO REACTIVATE MICA PIPELINE,APPLICATION TO REACTIVATE MICA PIPELINE,ESIM Migration 1000005264,1527.0
"Application to Vary Order MO-19-93, as amended, Revisions to Oil Temperature Limitations and Monitoring Schedule","Application to Vary Order MO-19-93, as amended, Re",,807846.0
Applications by Cochin Pipe Lines Ltd. (i) respecting a change in the 'outside diameter' of a certain portion of the pipeline set forth under paragraph (c).,Applications by Cochin Pipe Lines Ltd. (i) respect,ESIM Migration 1300015070,15070.0
Applilcation dated 07-11-19,Applilcation dated 07-11-19,2007-11-19 - Application for Compass Pipeline,485887.0
Approval of 2003 Tolls,Approval of 2003 Tolls,2003-03-21 Application for Approval of 2003 Tolls,270430.0
"Approval of the 2018 and 2019 Revenue Requirement Settlement, Revised 2018 and Final 2018 Rates and Abandonment Surcharges",2018-19 Revenue Requirement Settlement,,3519963.0
ARC Resources Ltd. application 4 to deactivate NPS 6” High Pressure Sour Natural Gas 13-20-080-13W6 to 05-28-080-13W6 Pipeline,"Deactivate NPS 6"" High Pressure Sour Natural Gas",2021-10-04 - Application to Deactivate NPS 6” High Pressure Sour Natural Gas 13-20-080-13W6 to 05-28-080-13W6 Pipeline,4152041.0
ARC Resources Ltd. s. 44 OPR Pipeline Deactivation - Under Order XG-S168-11-99 - 3 Line Deactivation Project.,ARC Resources Ltd. s. 44 OPR Pipeline Deactivation,"2017-04-27 Application to Deactivate Pipeline Order XG-S168-11-99, NPS 2 Low Pressure Fuel Gas and NPS 4 High Pressure Sour Gas Pipelines",3254434.0
ARC Resources s. 58 application to construct Saddle Hills Pipeline Loop,ARC Resources s. 58 application to construct Saddl,2008-07-09 - Application for Saddle Hills Pipeline Loop construction,522398.0
Assiniboine River Sales Tap,Assiniboine River Sales Tap,2002-07-24 Application for 2002 Construction - No. 9 - Assiniboine River Sales Tap,226623.0
Astara Energy Corp. - Application for a Name Change from Glenogle Energy Inc. to Astara Energy Corp. to reflect the new owner/operator of the pipelines.,Glenogle amalgamation with Astara,2022-06-21 - Application for a Name Change from Glenogle Energy Inc. to Astara Energy Corp.,4247222.0
ATKEN CREEK GAS PROCESSING PLANT DEACTIVATION,ATKEN CREEK GAS PROCESSING PLANT DEACTIVATION,ESIM Migration 1000006182,1752.0
Audit findings prompting Safety Order,Audit findings prompting Safety Order,,
Bear Creek Meter Station (AB42),Bear Creek Meter Station (AB42),2012-01-04 - Application for the Bear Creek Meter Station (AB42),781490.0
Bear Paw Processing Plant Compnay Application for Deactivation and Name Change,Bear Paw Processing Plant Compnay Application for ,"2012-01-30 - Application for the Deactivation of the North Portal Pipeline, Saskatchewan and Notice of Name Change",787529.0
Bear River West Lateral Loop,Bear River West Lateral Loop,,618920.0
Bellatrix Exploration Ltd. s. 44 Deactivation of Cypress Merryflat pipeline,Bellatrix Exploration Ltd. s. 44 Deactivation of C,2016-07-27 - Application to Deactivate the Cypress Merryflats Pipeline,3013738.0
Bellatrix Exploration Ltd. s. 74(1)(d) application to abandon in place the Cypress Merryflat Pipeline,Abandon Cypress Merryflat,,3808220.0
Berland River Compressor Station Unit Addition,Berland River Compressor Station Unit Addition,2011-07-11 - Application for Berland River Compressor Station Unit Addition,703300.0
Black Pearl Resources s.58 application to construct and operate Central SK-AB PW Disposal Pipeline,Black Pearl Resources s.58 application to construc,2012-12-19 - Application for the Central SK-AB Produced Water Disposal Pipeline,896076.0
Blackbird Energy Inc. s. 74(1)(c) amalgamation application with Pipestone Oil Corp. to form Pipestone Energy Corp.,Pipestone/Blackbird Amalgamation,,3781866.0
Blue River Containment Project 10126,Blue River Containment Project 10126,2003-03-03 Application for Blue River Containment Upgrade - Project 10126,267338.0
Bluewater River Crossing Replacement,Bluewater River Crossing Replacement,,792060.0
Board Safety Order - Westcoast - All NEB Regulated gas plants and processing facilities,Board Safety Order - Westcoast - All NEB Regulated,ESIM Migration 1300012461,12461.0
Bonavista Abandonment of Hallum Pipeline,Bonavista Abandonment of Hallum Pipeline,,2935327.0
Bonavista s. 74 and 21 application for the transfer of ownership to Glenogle Energy Inc.,Bonavista s. 74 and 21 application for the transfe,2014-02-12 - Application for Change of Ownership from Bonavista Energy Corporation,2423467.0
Bow River Energy Inc. and Surge Energy Inc. jointly request leave to transfer ownership of the deactivated pipeline 280197-1 (Alberta) and 280197-3 (Sask) to Surge.,Transfer Ownership Hayter-Eye Hill Pipeline,2021-10-14 - Application to transfer ownership of pipeline 280197-1 (Alberta) and 280197-3 (Saskatchewan) from Bow River Energy Inc. to Surge Energy Inc.,4157456.0
British Columbia Hydro and Power Authority s. 21 Application to Vary - Certificate of Public Convenience and Necessity No. EC-51 Project,British Columbia Hydro and Power Authority s. 21 A,,3224920.0
