Date,Pipeline Name,KeyPointID,Direction of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d)
2014-04-01,Alliance,KP0002,southeast,export,49940.9695,44919.8939
2014-05-01,Alliance,KP0002,southeast,export,48730.6142,43985.5703
2014-06-01,Alliance,KP0002,southeast,export,47778.0613,43759.0939
2014-07-01,Alliance,KP0002,southeast,export,47287.8895,43746.1303
2014-08-01,Alliance,KP0002,southeast,export,47422.3761,43336.6023
2014-09-01,Alliance,KP0002,southeast,export,48106.8271,43275.2782
2014-10-01,Alliance,KP0002,southeast,export,49232.3118,43961.2089
2014-11-01,Alliance,KP0002,southeast,export,50403.9791,43792.8022
2014-12-01,Alliance,KP0002,southeast,export,51384.4445,47319.5906
2015-01-01,Alliance,KP0002,southeast,export,51859.5484,47509.097
2015-02-01,Alliance,KP0002,southeast,export,51753.813,47537.29
2015-03-01,Alliance,KP0002,southeast,export,51017.8508,47398.3537
2015-04-01,Alliance,KP0002,southeast,export,49940.9695,43218.5413
2015-05-01,Alliance,KP0002,southeast,export,48730.6142,45621.83
2015-06-01,Alliance,KP0002,southeast,export,47778.0613,41828.8496
2015-07-01,Alliance,KP0002,southeast,export,47287.8895,40661.1932
2015-08-01,Alliance,KP0002,southeast,export,47445.7889,41478.8173
2015-09-01,Alliance,KP0002,southeast,export,48117.3017,42345.801
2015-10-01,Alliance,KP0002,southeast,export,49232.3118,43428.7951
2015-11-01,Alliance,KP0002,southeast,export,50403.9791,43768.6824
2015-12-01,Alliance,KP0002,southeast,export,50157.7449,43277.2226
2016-01-01,Alliance,KP0002,southeast,export,52351.4444,45292.6677
2016-02-01,Alliance,KP0002,southeast,export,52384.1198,45922.5724
2016-03-01,Alliance,KP0002,southeast,export,52361.4774,45872.2194
2016-04-01,Alliance,KP0002,southeast,export,47265.6572,44066.9667
2016-05-01,Alliance,KP0002,southeast,export,47624.9844,44360.8452
2016-06-01,Alliance,KP0002,southeast,export,47122.379,43508.67
2016-07-01,Alliance,KP0002,southeast,export,44292.6063,42602.1516
2016-08-01,Alliance,KP0002,southeast,export,44393.7721,42660.0516
2016-09-01,Alliance,KP0002,southeast,export,44316.2799,43945.9833
2016-10-01,Alliance,KP0002,southeast,export,46612.771,29634.0839
2016-11-01,Alliance,KP0002,southeast,export,46247.0166,44128.3833
2016-12-01,Alliance,KP0002,southeast,export,46344.7477,45763.5935
2017-01-01,Alliance,KP0002,southeast,export,49846.6293,47144.5161
2017-02-01,Alliance,KP0002,southeast,export,49926.3181,45413.6536
2017-03-01,Alliance,KP0002,southeast,export,49918.6222,45247.8968
2017-04-01,Alliance,KP0002,southeast,export,46664.0659,42025.6667
2017-05-01,Alliance,KP0002,southeast,export,46668.1988,42850.5032
2017-06-01,Alliance,KP0002,southeast,export,45945.1006,43521.9133
2017-07-01,Alliance,KP0002,southeast,export,44328.1364,43059.9097
2017-08-01,Alliance,KP0002,southeast,export,44350.4854,43841.8806
2017-09-01,Alliance,KP0002,southeast,export,44211.3566,43149.59
2017-10-01,Alliance,KP0002,southeast,export,45915.4919,43275.7968
2017-11-01,Alliance,KP0002,southeast,export,44844.1488,46154.53
2017-12-01,Alliance,KP0002,southeast,export,44754.6223,45240.5903
2018-01-01,Alliance,KP0002,southeast,export,49220.1611,48214.9194
2018-02-01,Alliance,KP0002,southeast,export,48865.2676,44358.2464
2018-03-01,Alliance,KP0002,southeast,export,48841.1001,46399.1548
2018-04-01,Alliance,KP0002,southeast,export,45413.2326,45494.9067
2018-05-01,Alliance,KP0002,southeast,export,45371.6576,44836.7581
2018-06-01,Alliance,KP0002,southeast,export,45278.4656,44621.0367
2018-07-01,Alliance,KP0002,southeast,export,43886.3679,44109.6323
2018-08-01,Alliance,KP0002,southeast,export,43901.2363,44447.0548
2018-09-01,Alliance,KP0002,southeast,export,43903.3607,42746.1767
2018-10-01,Alliance,KP0002,southeast,export,45635.3881,43756.8903
2018-11-01,Alliance,KP0002,southeast,export,45655.9388,44542.1967
2018-12-01,Alliance,KP0002,southeast,export,45549.2909,46318.0581
2019-01-01,Alliance,KP0002,southeast,export,47646.2944,47293.2194
2019-02-01,Alliance,KP0002,southeast,export,47505.2306,45627.2393
2019-03-01,Alliance,KP0002,southeast,export,47453.1815,45534.5742
2019-04-01,Alliance,KP0002,southeast,export,42791.1909,45708.2633
2019-05-01,Alliance,KP0002,southeast,export,41387.7425,43369.5935
2019-06-01,Alliance,KP0002,southeast,export,41462.7238,34611.5533
2019-07-01,Alliance,KP0002,southeast,export,43577.1681,43721.8419
2019-08-01,Alliance,KP0002,southeast,export,43553.5004,43124.4903
2019-09-01,Alliance,KP0002,southeast,export,43454.3168,43073.1233
2019-10-01,Alliance,KP0002,southeast,export,44462.7373,40938.9903
2019-11-01,Alliance,KP0002,southeast,export,45971.3013,42406.8867
2019-12-01,Alliance,KP0002,southeast,export,44833.6417,39229.5226
2020-01-01,Alliance,KP0002,southeast,export,48727.1043,38920.4516
2020-02-01,Alliance,KP0002,southeast,export,47458.8106,38307.9483
2020-03-01,Alliance,KP0002,southeast,export,47401.8721,37948.8194
2020-04-01,Alliance,KP0002,southeast,export,45652.2565,36465.0633
2020-05-01,Alliance,KP0002,southeast,export,45397.3434,36585.0194
2020-06-01,Alliance,KP0002,southeast,export,45383.5668,35900.6133
2020-07-01,Alliance,KP0002,southeast,export,44669.6519,37917.2419
2020-08-01,Alliance,KP0002,southeast,export,43331.6248,36319.8161
2020-09-01,Alliance,KP0002,southeast,export,43144.7612,32717.5467
2020-10-01,Alliance,KP0002,southeast,export,45278.59,34711.0
2020-11-01,Alliance,KP0002,southeast,export,45524.1232,39751.1
2020-12-01,Alliance,KP0002,southeast,export,45576.1914,43066.7871
2021-01-01,Alliance,KP0002,southeast,export,47526.529,43250.8355
2021-02-01,Alliance,KP0002,southeast,export,47553.4342,43971.1679
2021-03-01,Alliance,KP0002,southeast,export,47529.2875,42359.8226
2021-04-01,Alliance,KP0002,southeast,export,44821.4757,38015.6833
2021-05-01,Alliance,KP0002,southeast,export,45849.6147,41025.6903
2021-06-01,Alliance,KP0002,southeast,export,44806.0131,39663.39
2021-07-01,Alliance,KP0002,southeast,export,44969.5414,41669.7935
2021-08-01,Alliance,KP0002,southeast,export,43805.355,42970.1065
2021-09-01,Alliance,KP0002,southeast,export,43822.82,42664.2867
2021-10-01,Alliance,KP0002,southeast,export,46430.6976,42531.8226
2021-11-01,Alliance,KP0002,southeast,export,46385.5725,45192.3567
2021-12-01,Alliance,KP0002,southeast,export,45481.7953,44042.0935
2022-01-01,Alliance,KP0002,southeast,export,48770.0905,46220.429
2022-02-01,Alliance,KP0002,southeast,export,47785.6296,46579.575
2022-03-01,Alliance,KP0002,southeast,export,47710.4306,43814.5871
2022-04-01,Alliance,KP0002,southeast,export,44886.3465,43256.56
2022-05-01,Alliance,KP0002,southeast,export,44983.9192,44777.8516
2022-06-01,Alliance,KP0002,southeast,export,45908.8351,45150.9633
2022-07-01,Alliance,KP0002,southeast,export,42064.9176,43650.1161
2022-08-01,Alliance,KP0002,southeast,export,42081.2048,44267.9581
2022-09-01,Alliance,KP0002,southeast,export,42082.6439,43368.7867
2022-10-01,Alliance,KP0002,southeast,export,45208.254,44734.9194
2022-11-01,Alliance,KP0002,southeast,export,45353.0081,46815.91
2022-12-01,Alliance,KP0002,southeast,export,45327.5028,46899.2387
2023-01-01,Alliance,KP0002,southeast,export,48109.0366,45844.5516
2023-02-01,Alliance,KP0002,southeast,export,48057.5079,45792.4857
2023-03-01,Alliance,KP0002,southeast,export,48251.7693,45638.1452
2023-04-01,Alliance,KP0002,southeast,export,45552.3259,42476.2533
2023-05-01,Alliance,KP0002,southeast,export,44417.4508,38920.3742
2023-06-01,Alliance,KP0002,southeast,export,44422.8314,40034.3667
2023-07-01,Alliance,KP0002,southeast,export,43660.5276,43433.7194
2023-08-01,Alliance,KP0002,southeast,export,43619.4347,43349.729
2023-09-01,Alliance,KP0002,southeast,export,43739.8249,39784.1133
2006-01-01,Alliance,KP0045,southeast,intracanada,13890.8642,11653.4768
2006-02-01,Alliance,KP0045,southeast,intracanada,14033.9923,11596.545
2006-03-01,Alliance,KP0045,southeast,intracanada,13862.1445,11423.7368
2006-04-01,Alliance,KP0045,southeast,intracanada,13438.7773,11397.5133
2006-05-01,Alliance,KP0045,southeast,intracanada,12849.2383,10699.2881
2006-06-01,Alliance,KP0045,southeast,intracanada,12285.1225,11185.7814
2006-07-01,Alliance,KP0045,southeast,intracanada,11866.298,10478.5884
2006-08-01,Alliance,KP0045,southeast,intracanada,11727.3695,10892.9375
2006-09-01,Alliance,KP0045,southeast,intracanada,11891.4742,9626.1746
2006-10-01,Alliance,KP0045,southeast,intracanada,12330.9704,9932.6793
2006-11-01,Alliance,KP0045,southeast,intracanada,12901.5093,10719.2807
2006-12-01,Alliance,KP0045,southeast,intracanada,13483.4428,11315.2233
2007-01-01,Alliance,KP0045,southeast,intracanada,13890.8642,11159.638
2007-02-01,Alliance,KP0045,southeast,intracanada,14033.9923,11769.4846
2007-03-01,Alliance,KP0045,southeast,intracanada,13862.1445,12010.7996
2007-04-01,Alliance,KP0045,southeast,intracanada,13438.7773,11089.7271
2007-05-01,Alliance,KP0045,southeast,intracanada,12849.2383,10907.0071
2007-06-01,Alliance,KP0045,southeast,intracanada,12285.1225,10978.5246
2007-07-01,Alliance,KP0045,southeast,intracanada,11870.8162,11029.8728
2007-08-01,Alliance,KP0045,southeast,intracanada,11727.3695,10586.4988
2007-09-01,Alliance,KP0045,southeast,intracanada,11891.4742,9684.8196
2007-10-01,Alliance,KP0045,southeast,intracanada,12330.9704,9479.751
2007-11-01,Alliance,KP0045,southeast,intracanada,12901.5093,8324.0097
2007-12-01,Alliance,KP0045,southeast,intracanada,13479.31,8312.7244
2008-01-01,Alliance,KP0045,southeast,intracanada,13890.8642,10096.6726
2008-02-01,Alliance,KP0045,southeast,intracanada,14033.258,11191.4754
2008-03-01,Alliance,KP0045,southeast,intracanada,13862.1445,11459.1281
2008-04-01,Alliance,KP0045,southeast,intracanada,13443.9712,10029.8506
2008-05-01,Alliance,KP0045,southeast,intracanada,12849.2383,10703.7948
2008-06-01,Alliance,KP0045,southeast,intracanada,12291.8193,8274.5621
2008-07-01,Alliance,KP0045,southeast,intracanada,11866.298,11517.4387
2008-08-01,Alliance,KP0045,southeast,intracanada,11727.3695,10768.9475
2008-09-01,Alliance,KP0045,southeast,intracanada,11891.4742,11610.1644
2008-10-01,Alliance,KP0045,southeast,intracanada,12330.9704,11304.0568
2008-11-01,Alliance,KP0045,southeast,intracanada,17150.6853,11143.3074
2008-12-01,Alliance,KP0045,southeast,intracanada,17732.6188,9321.5751
2009-01-01,Alliance,KP0045,southeast,intracanada,18140.0402,10737.1397
2009-02-01,Alliance,KP0045,southeast,intracanada,18283.1683,10209.226
2009-03-01,Alliance,KP0045,southeast,intracanada,18111.3205,11274.1632
2009-04-01,Alliance,KP0045,southeast,intracanada,17687.9533,10358.2157
2009-05-01,Alliance,KP0045,southeast,intracanada,17098.4143,11107.0996
2009-06-01,Alliance,KP0045,southeast,intracanada,16527.2405,10113.6018
2009-07-01,Alliance,KP0045,southeast,intracanada,16115.474,9910.049
2009-08-01,Alliance,KP0045,southeast,intracanada,15976.5455,8235.2487
2009-09-01,Alliance,KP0045,southeast,intracanada,16140.6502,8013.7235
2009-10-01,Alliance,KP0045,southeast,intracanada,16580.1464,7798.5752
2009-11-01,Alliance,KP0045,southeast,intracanada,17150.6853,8654.6648
2009-12-01,Alliance,KP0045,southeast,intracanada,17732.6188,8842.4382
2010-01-01,Alliance,KP0045,southeast,intracanada,18140.0402,11087.3388
2010-02-01,Alliance,KP0045,southeast,intracanada,18283.1683,11161.2463
2010-03-01,Alliance,KP0045,southeast,intracanada,18111.3205,10505.592
2010-04-01,Alliance,KP0045,southeast,intracanada,17687.9533,10411.6456
2010-05-01,Alliance,KP0045,southeast,intracanada,17102.4864,11485.6834
2010-06-01,Alliance,KP0045,southeast,intracanada,16534.2985,12532.9064
2010-07-01,Alliance,KP0045,southeast,intracanada,16115.474,11215.2512
2010-08-01,Alliance,KP0045,southeast,intracanada,15976.5455,10908.582
2010-09-01,Alliance,KP0045,southeast,intracanada,16140.6502,11446.688
2010-10-01,Alliance,KP0045,southeast,intracanada,16580.1464,12038.8385
2010-11-01,Alliance,KP0045,southeast,intracanada,17150.6853,13105.2995
2010-12-01,Alliance,KP0045,southeast,intracanada,17732.6188,13237.9432
2011-01-01,Alliance,KP0045,southeast,intracanada,18140.0402,13982.6851
2011-02-01,Alliance,KP0045,southeast,intracanada,18283.1683,14776.5626
2011-03-01,Alliance,KP0045,southeast,intracanada,18111.3205,15726.2495
2011-04-01,Alliance,KP0045,southeast,intracanada,17687.9533,13576.2423
2011-05-01,Alliance,KP0045,southeast,intracanada,17098.4143,13337.2176
2011-06-01,Alliance,KP0045,southeast,intracanada,16534.2985,9508.7584
2011-07-01,Alliance,KP0045,southeast,intracanada,16115.474,11766.5621
2011-08-01,Alliance,KP0045,southeast,intracanada,15976.5455,13259.9516
2011-09-01,Alliance,KP0045,southeast,intracanada,16140.6502,13279.2564
2011-10-01,Alliance,KP0045,southeast,intracanada,16580.1464,13977.0774
2011-11-01,Alliance,KP0045,southeast,intracanada,17150.6853,13337.6269
2011-12-01,Alliance,KP0045,southeast,intracanada,17732.6188,14501.1861
2012-01-01,Alliance,KP0045,southeast,intracanada,18136.9113,15479.8566
2012-02-01,Alliance,KP0045,southeast,intracanada,18282.2975,14472.2746
2012-03-01,Alliance,KP0045,southeast,intracanada,18111.3205,14860.7996
2012-04-01,Alliance,KP0045,southeast,intracanada,17687.9533,12786.1883
2012-05-01,Alliance,KP0045,southeast,intracanada,17098.4143,13071.8998
2012-06-01,Alliance,KP0045,southeast,intracanada,16534.2985,13209.4087
2012-07-01,Alliance,KP0045,southeast,intracanada,16115.474,13398.7935
2012-08-01,Alliance,KP0045,southeast,intracanada,15976.5455,12640.2401
2012-09-01,Alliance,KP0045,southeast,intracanada,16140.6502,12009.7715
2012-10-01,Alliance,KP0045,southeast,intracanada,16604.078,12462.4558
2012-11-01,Alliance,KP0045,southeast,intracanada,17150.6853,12343.1097
2012-12-01,Alliance,KP0045,southeast,intracanada,17732.6188,14832.4484
2013-01-01,Alliance,KP0045,southeast,intracanada,18140.0402,15870.0484
2013-02-01,Alliance,KP0045,southeast,intracanada,18283.1683,15321.2711
2013-03-01,Alliance,KP0045,southeast,intracanada,18111.3205,15002.0352
2013-04-01,Alliance,KP0045,southeast,intracanada,17687.9533,14579.6955
2013-05-01,Alliance,KP0045,southeast,intracanada,17098.4143,14652.7578
2013-06-01,Alliance,KP0045,southeast,intracanada,16534.2985,13125.1018
2013-07-01,Alliance,KP0045,southeast,intracanada,16115.474,12712.5431
2013-08-01,Alliance,KP0045,southeast,intracanada,15976.5455,12339.2219
2013-09-01,Alliance,KP0045,southeast,intracanada,16140.6502,11857.3167
2013-10-01,Alliance,KP0045,southeast,intracanada,16580.1464,12679.6061
2013-11-01,Alliance,KP0045,southeast,intracanada,17150.6853,14117.4421
2013-12-01,Alliance,KP0045,southeast,intracanada,17732.6188,14957.5854
2014-01-01,Alliance,KP0045,southeast,intracanada,18140.0402,14965.5469
2014-02-01,Alliance,KP0045,southeast,intracanada,18283.9479,15237.2549
2014-03-01,Alliance,KP0045,southeast,intracanada,18111.3205,14462.3771
2014-04-01,Alliance,KP0045,southeast,intracanada,17687.9533,12882.9901
2014-05-01,Alliance,KP0045,southeast,intracanada,17098.4143,12702.762
2014-06-01,Alliance,KP0045,southeast,intracanada,16534.2985,10557.6684
2014-07-01,Alliance,KP0045,southeast,intracanada,16115.474,11572.9447
2014-08-01,Alliance,KP0045,southeast,intracanada,15976.5455,12391.4478
2014-09-01,Alliance,KP0045,southeast,intracanada,16136.6796,10885.412
2014-10-01,Alliance,KP0045,southeast,intracanada,16580.1464,9500.6513
2014-11-01,Alliance,KP0045,southeast,intracanada,17150.6853,10817.9868
2014-12-01,Alliance,KP0045,southeast,intracanada,17732.6188,12022.4589
2015-01-01,Alliance,KP0045,southeast,intracanada,18140.0402,11636.3888
2015-02-01,Alliance,KP0045,southeast,intracanada,18283.1683,10170.9566
2015-03-01,Alliance,KP0045,southeast,intracanada,18111.3205,8955.8511
2015-04-01,Alliance,KP0045,southeast,intracanada,17687.9533,8910.2342
2015-05-01,Alliance,KP0045,southeast,intracanada,17098.4143,9881.3158
2015-06-01,Alliance,KP0045,southeast,intracanada,16535.4303,6709.4171
2015-07-01,Alliance,KP0045,southeast,intracanada,16115.474,7264.7327
2015-08-01,Alliance,KP0045,southeast,intracanada,15979.2591,7528.1495
2015-09-01,Alliance,KP0045,southeast,intracanada,16140.6502,7245.0642
2015-10-01,Alliance,KP0045,southeast,intracanada,16580.1464,6926.3861
2015-11-01,Alliance,KP0045,southeast,intracanada,17150.6853,7671.5982
2015-12-01,Alliance,KP0045,southeast,intracanada,16464.7355,13579.7419
2016-01-01,Alliance,KP0045,southeast,intracanada,16512.7108,14449.7419
2016-02-01,Alliance,KP0045,southeast,intracanada,16487.629,14126.0
2016-03-01,Alliance,KP0045,southeast,intracanada,16400.5827,13805.9032
2016-04-01,Alliance,KP0045,southeast,intracanada,16193.2181,11589.6667
2016-05-01,Alliance,KP0045,southeast,intracanada,16334.9669,13027.1613
2016-06-01,Alliance,KP0045,southeast,intracanada,16254.3947,11836.9633
2016-07-01,Alliance,KP0045,southeast,intracanada,15823.0907,11293.871
2016-08-01,Alliance,KP0045,southeast,intracanada,15943.8216,12172.4516
2016-09-01,Alliance,KP0045,southeast,intracanada,15776.4317,13319.5333
2016-10-01,Alliance,KP0045,southeast,intracanada,15751.0723,9233.3194
2016-11-01,Alliance,KP0045,southeast,intracanada,15833.8414,11325.6333
2016-12-01,Alliance,KP0045,southeast,intracanada,15861.1643,12064.2258
2017-01-01,Alliance,KP0045,southeast,intracanada,16596.4314,14497.7742
2017-02-01,Alliance,KP0045,southeast,intracanada,16610.8849,13986.9643
2017-03-01,Alliance,KP0045,southeast,intracanada,16599.7901,13200.7419
2017-04-01,Alliance,KP0045,southeast,intracanada,15251.8095,11201.1333
2017-05-01,Alliance,KP0045,southeast,intracanada,15308.6684,12258.2581
2017-06-01,Alliance,KP0045,southeast,intracanada,14988.4844,8895.4467
2017-07-01,Alliance,KP0045,southeast,intracanada,13660.857,9638.9032
2017-08-01,Alliance,KP0045,southeast,intracanada,13872.3679,11453.3548
2017-09-01,Alliance,KP0045,southeast,intracanada,13818.0045,10750.7
2017-10-01,Alliance,KP0045,southeast,intracanada,14749.9247,10487.2903
2017-11-01,Alliance,KP0045,southeast,intracanada,14676.0802,14053.1667
2017-12-01,Alliance,KP0045,southeast,intracanada,14643.6273,13479.2258
2018-01-01,Alliance,KP0045,southeast,intracanada,16034.577,15868.0
2018-02-01,Alliance,KP0045,southeast,intracanada,15954.5285,13039.2143
2018-03-01,Alliance,KP0045,southeast,intracanada,15880.1965,13086.5161
2018-04-01,Alliance,KP0045,southeast,intracanada,15049.7983,14502.3
2018-05-01,Alliance,KP0045,southeast,intracanada,14951.18,13809.8387
2018-06-01,Alliance,KP0045,southeast,intracanada,14877.1696,12014.4333
2018-07-01,Alliance,KP0045,southeast,intracanada,14681.4738,13087.0
2018-08-01,Alliance,KP0045,southeast,intracanada,14723.4773,13351.5161
2018-09-01,Alliance,KP0045,southeast,intracanada,14741.9985,12740.1333
2018-10-01,Alliance,KP0045,southeast,intracanada,15530.4866,12422.4839
2018-11-01,Alliance,KP0045,southeast,intracanada,15582.2522,15009.2667
2018-12-01,Alliance,KP0045,southeast,intracanada,15482.5207,15723.7419
2019-01-01,Alliance,KP0045,southeast,intracanada,17057.2292,14252.9032
2019-02-01,Alliance,KP0045,southeast,intracanada,17104.5479,16062.9643
2019-03-01,Alliance,KP0045,southeast,intracanada,16904.206,14286.2903
2019-04-01,Alliance,KP0045,southeast,intracanada,13531.0896,14029.6333
2019-05-01,Alliance,KP0045,southeast,intracanada,13493.7983,12727.0968
2019-06-01,Alliance,KP0045,southeast,intracanada,13537.3826,10149.1333
2019-07-01,Alliance,KP0045,southeast,intracanada,13694.5565,12356.9032
2019-08-01,Alliance,KP0045,southeast,intracanada,13721.5101,12785.7419
2019-09-01,Alliance,KP0045,southeast,intracanada,13678.553,12504.5333
2019-10-01,Alliance,KP0045,southeast,intracanada,14895.4116,12288.1935
2019-11-01,Alliance,KP0045,southeast,intracanada,14886.0935,14402.4333
2019-12-01,Alliance,KP0045,southeast,intracanada,14760.4174,13255.4516
2020-01-01,Alliance,KP0045,southeast,intracanada,16424.9194,12496.4839
2020-02-01,Alliance,KP0045,southeast,intracanada,16478.2687,10798.1034
